5	5	50
6	6	49
5	5	50
4	6	51
5	7	52
6	8	51
7	9	52
8	8	53
7	9	54
6	1	55
7	9	56
8	8	55
9	7	54
8	6	55
9	7	54
8	8	55
7	7	54
6	8	53
7	9	54
6	1	55
7	2	56
6	1	57
5	2	58
4	3	57
5	2	58
6	3	57
5	4	58
4	5	57
3	4	56
4	3	57
3	4	56
2	5	55
3	6	56
4	7	55
5	6	56
4	7	55
5	8	56
4	9	57
3	1	58
2	2	57
1	3	58
9	4	59
1	5	58
9	4	57
1	5	56
9	6	55
8	5	56
9	4	57
8	5	56
7	6	57
6	7	58
7	6	57
6	7	58
7	8	59
8	7	58
9	6	57
1	5	56
2	4	57
1	3	56
9	2	57
8	1	58
9	9	59
1	8	58
2	9	59
1	8	58
2	7	57
3	8	58
4	7	59
3	6	60
2	7	59
1	8	58
2	7	57
1	8	58
9	7	57
1	8	58
2	7	59
1	8	58
2	7	59
1	8	60
2	9	59
3	1	60
2	9	61
1	8	62
2	7	63
1	6	62
2	7	61
1	8	62
9	7	61
1	6	62
2	5	61
3	6	60
4	7	59
3	6	60
4	7	61
5	8	62
6	7	63
5	6	62
6	7	63
7	6	64
6	7	65
7	8	66
8	7	65
9	6	64
8	5	63
7	6	64
8	5	63
7	4	62
8	3	63
7	4	62
8	3	63
9	4	62
8	3	61
7	4	62
8	3	63
9	2	62
8	3	61
7	2	62
8	3	63
7	4	62
6	3	61
5	4	62
4	5	63
5	4	64
4	5	65
5	4	66
6	3	65
7	4	64
6	3	65
7	2	64
6	3	65
5	4	64
4	5	63
5	4	62
4	3	63
5	4	64
4	3	65
5	2	64
6	1	63
7	9	64
8	8	63
7	7	64
8	6	63
9	5	64
1	4	65
9	3	66
1	2	67
9	3	68
1	4	67
2	3	66
1	4	65
9	3	64
1	4	65
9	3	66
1	4	67
9	5	68
1	4	67
2	3	68
1	4	67
9	5	66
8	6	65
7	5	64
8	6	65
7	7	66
8	6	65
7	7	66
6	6	67
5	7	68
6	6	69
5	5	68
4	6	69
3	7	70
2	6	71
3	5	70
2	6	71
1	5	70
2	4	69
1	3	68
9	4	67
1	5	66
2	4	67
1	3	68
9	4	69
1	3	68
2	4	69
1	5	70
9	6	71
1	7	72
2	8	73
3	7	72
4	8	71
5	7	72
4	6	71
5	7	70
6	6	71
7	7	72
6	8	71
5	7	72
6	8	73
5	7	74
6	6	75
7	7	76
6	8	77
5	7	76
6	6	75
5	7	76
6	8	77
7	9	78
8	1	79
7	2	80
8	1	81
7	9	80
8	8	81
7	9	80
6	8	79
7	7	80
6	6	79
7	7	78
8	6	79
7	5	78
8	4	79
9	3	80
1	2	81
2	1	80
3	2	79
4	1	80
3	9	81
2	8	80
1	9	81
2	1	82
1	9	83
2	1	82
1	2	81
2	1	80
1	2	81
9	1	82
1	9	81
9	8	80
1	9	81
9	8	80
1	7	79
2	8	78
3	9	79
4	1	80
5	2	79
6	3	78
5	4	77
4	5	76
3	4	77
4	3	76
5	2	75
4	3	74
3	2	75
4	3	74
3	2	75
2	3	76
1	2	75
9	1	76
8	2	75
7	1	74
6	9	73
5	8	74
4	7	75
3	8	74
2	9	75
1	1	74
2	2	73
3	3	74
2	4	73
1	5	72
2	6	71
3	5	70
4	4	69
3	3	70
4	4	69
3	5	70
2	4	69
3	5	70
2	6	71
1	5	70
9	6	69
1	5	68
2	6	67
1	5	68
2	6	67
1	7	68
2	8	69
1	7	68
2	6	69
1	5	70
2	6	69
3	5	70
4	6	69
5	7	68
4	8	69
3	9	68
4	8	67
3	7	66
2	6	67
1	5	68
2	6	67
1	5	66
2	6	65
3	7	66
2	8	65
3	7	66
2	8	65
1	7	64
9	6	63
1	5	64
2	4	63
3	3	64
2	4	63
1	3	64
2	2	65
1	1	66
2	9	65
3	8	64
2	7	65
1	6	66
2	7	67
1	6	68
2	5	67
3	4	68
4	3	69
3	2	70
4	3	71
5	4	72
4	5	71
5	6	70
4	7	71
3	8	72
4	7	71
3	8	70
4	7	69
3	6	68
2	7	67
3	8	68
4	9	67
5	8	68
6	7	67
5	6	68
6	5	69
7	4	70
6	5	71
5	6	70
6	7	71
7	8	70
6	7	71
5	8	72
6	7	71
5	6	70
6	7	69
7	8	68
6	9	69
7	1	70
8	9	69
9	1	70
1	2	71
2	3	70
1	4	69
9	5	68
1	4	67
2	5	68
1	6	67
2	7	68
1	6	67
2	7	68
1	8	69
9	7	68
8	6	69
9	7	68
1	6	69
2	7	68
1	8	67
9	9	68
8	1	69
7	9	70
8	1	69
7	2	68
8	3	67
7	2	68
8	1	69
7	2	70
6	1	69
5	9	70
6	8	71
7	7	72
6	6	71
5	5	72
4	6	73
3	5	74
2	6	75
3	7	76
2	8	77
3	7	78
2	8	77
3	7	76
4	6	75
5	5	76
6	4	75
5	5	74
6	6	75
7	5	74
6	6	73
7	5	72
6	4	73
5	3	72
6	4	71
7	3	72
6	4	73
7	5	72
8	6	73
9	5	72
1	4	73
2	5	74
3	6	75
4	5	76
5	6	75
6	5	76
5	6	75
4	5	74
3	6	75
2	5	76
1	4	77
2	5	76
1	6	77
2	5	78
3	6	77
4	5	78
3	6	77
4	7	76
5	8	77
4	9	76
5	1	75
4	9	76
3	8	75
4	7	74
5	8	75
6	7	74
5	8	75
4	7	74
3	8	75
2	9	76
1	8	75
9	7	76
1	6	77
9	7	78
8	6	77
7	5	78
6	4	77
7	5	76
8	6	77
7	7	76
8	8	75
7	9	74
8	1	73
7	2	74
6	3	73
5	4	72
6	5	71
7	4	72
8	5	73
7	4	72
6	5	71
5	6	72
4	5	71
3	6	72
2	7	73
1	8	72
9	9	71
8	8	70
7	7	69
8	6	68
9	7	69
1	8	70
2	7	71
3	6	70
4	5	71
3	4	72
2	3	71
1	4	70
2	5	69
3	4	70
4	5	69
3	6	70
4	5	71
5	6	70
6	5	69
7	4	70
6	5	71
5	6	70
4	5	71
5	6	72
4	5	73
3	6	72
4	5	71
5	6	72
6	7	71
7	6	70
6	5	71
5	4	72
4	3	73
3	4	74
4	5	75
3	6	74
2	7	75
1	6	74
9	7	75
8	6	76
7	7	77
6	8	78
7	9	77
6	1	78
7	2	79
8	3	78
9	2	79
8	1	80
9	9	79
8	8	80
7	9	79
8	1	80
9	9	79
1	8	78
9	7	79
1	8	78
9	7	77
1	8	78
2	7	79
3	6	78
2	5	79
1	4	78
2	5	77
1	4	76
9	3	75
1	2	76
2	1	75
1	2	76
2	1	77
1	9	78
9	8	77
1	9	76
2	8	77
3	7	78
2	6	79
1	7	80
9	8	81
8	9	82
9	8	83
8	7	84
9	8	83
1	7	84
2	6	85
1	7	84
2	8	83
3	7	82
2	6	83
1	5	82
2	6	81
1	7	80
9	6	81
8	5	80
9	6	79
8	5	80
7	6	81
8	5	82
9	6	83
8	7	84
7	6	83
6	5	84
5	4	85
4	3	86
3	4	87
2	3	88
3	2	87
2	3	88
3	2	87
2	1	88
3	9	89
4	8	90
3	9	89
2	1	88
3	2	87
2	3	86
3	2	85
2	3	84
3	2	83
4	3	84
3	2	85
4	1	84
3	9	85
2	8	84
3	7	85
4	6	84
5	5	83
6	4	84
7	5	83
6	4	84
7	3	85
6	4	86
5	5	85
6	4	84
7	5	83
6	4	84
5	5	85
6	4	86
5	3	85
4	2	84
5	3	83
6	4	84
5	3	83
4	4	82
5	5	83
6	6	84
5	5	83
6	6	84
5	7	85
4	6	86
3	7	85
2	6	86
3	7	87
2	8	88
1	7	87
9	6	88
1	5	89
9	4	88
1	3	87
9	4	86
1	5	87
2	4	86
1	5	87
9	6	86
1	5	87
2	4	88
1	5	89
9	6	90
8	5	89
7	4	90
6	5	89
5	4	88
4	5	87
5	6	88
6	5	89
5	6	90
6	7	91
7	8	90
6	7	91
5	6	92
6	7	93
5	8	94
4	9	93
3	8	94
2	9	95
3	8	94
4	9	93
3	8	94
2	9	95
3	1	94
4	2	95
3	3	94
4	4	95
3	3	96
4	2	95
5	3	94
6	2	93
7	1	92
8	2	93
7	1	94
6	2	93
7	3	94
8	4	93
7	5	92
8	4	91
7	5	90
6	6	89
5	5	90
